adt_protein	cytof_name
CD57-Recombinant	CD57
B7-H4	B7-H4
c-Met	c-Met
CD197-CCR7	CCR7
CD10	CD10
CD101-BB27	CD101-BB27
CD106	CD106
CD107A-LAMP-1	CD107A-LAMP-1
CD112-NECTIN-2	CD112-NECTIN-2
CD117-c-Kit	CD117-c-Kit
CD11A	CD11A
CD11B	CD11B
CD122-IL-2RB	CD122-IL-2RB
CD124-IL-4RA	CD124-IL-4RA
CD133	CD133
CD137-4-1BB	CD137-4-1BB
CD137L-4-1BB-Ligand	CD137L-4-1BB-Ligand
CD138-Syndecan-1	CD138-Syndecan-1
CD14-1	CD14
CD144-VE-Cadherin	CD144-VE-Cadherin
CD146	CD146
CD15-SSEA-1	CD15-SSEA-1
CD150-SLAM	CD150-SLAM
CD152-CTLA-4	CD152-CTLA-4
CD154	CD154
CD155-PVR	CD155-PVR
CD158-KIR2DL1-S1-S3-S5	CD158-KIR2DL1-S1-S3-S5
CD158B-KIR2DL2-L3-NKAT3	CD158B-KIR2DL2-L3-NKAT3
CD158E1-KIR3DL1-NKB1	CD158E1-KIR3DL1-NKB1
CD158F-KIR2DL5	CD158F-KIR2DL5
CD163-1	CD163-1
CD169-Sialoadhesin-Siglec-1	CD169-Sialoadhesin-Siglec-1
CD178-FAS-L	CD178-FAS-L
CD18	CD18
CD183-CXCR3	CD183-CXCR3
CD184-CXCR4	CD184-CXCR4
CD185-CXCR5	CD185-CXCR5
CD19-1	CD19
CD193-CCR3	CD193-CCR3
CD194-CCR4	CD194-CCR4
CD195-CCR5	CD195-CCR5
CD196-CCR6	CD196-CCR6
CD1A-1	CD1A-1
CD1C-1	CD1C-1
CD1D-1	CD1D-1
CD2-1	CD2-1
CD204	CD204
CD206-MMR	CD206-MMR
CD207-1	CD207-1
CD209-DC-SIGN	CD209-DC-SIGN
CD21	CD21
CD22-1	CD22-1
CD223-LAG-3	CD223-LAG-3
CD224	CD224
CD226-DNAM-1	CD226-DNAM-1
CD23	CD23
CD235AB	CD235AB
CD24-1	CD24-1
CD244-2B4	CD244-2B4
CD252-OX40L	CD252-OX40L
CD254-TRANCE-RANKL	CD254-TRANCE-RANKL
CD257-BAFF-BLYS	CD257-BAFF-BLYS
CD258-LIGHT	CD258-LIGHT
CD26	CD26
CD267-TACI	CD267-TACI
CD268-BAFF-R	CD268-BAFF-R
CD269-BCMA	CD269-BCMA
CD27-1	CD27
CD272-BTLA	CD272-BTLA
CD273-B7-DC-PD-L2	CD273-B7-DC-PD-L2
CD274-B7-H1-PD-L1	CD274-B7-H1-PD-L1
CD275-B7-H2-ICOSL	CD275-B7-H2-ICOSL
CD278-ICOS	CD278-ICOS
CD28-1	CD28
CD29	CD29
CD294-CRTH2	CD294-CRTH2
CD30	CD30
CD303-BDCA-2	CD303-BDCA-2
CD304-Neuropilin-1	CD304-Neuropilin-1
CD305-LAIR1	CD305-LAIR1
CD307D-FcRL4	CD307D-FcRL4
CD307E-FcRL5	CD307E-FcRL5
CD309-VEGFR2	CD309-VEGFR2
CD31	CD31
CD314-NKG2D	CD314-NKG2D
CD319-CRACC	CD319-CRACC
CD32	CD32
CD324-E-Cadherin	CD324-E-Cadherin
CD326-Ep-CAM	CD326-Ep-CAM
CD328-Siglec-7	CD328-Siglec-7
CD33-1	CD33
CD335-NKp46	CD335-NKp46
CD336-NKp44	CD336-NKp44
CD337-NKp30	CD337-NKp30
CD34-1	CD34-1
